artist_id|artist_name|artist_popularity|artist_genres|artist_added_ts
1SQRv42e4PjEYfPhS0Tk9E|The Kinks|64|album rock, art rock, british invasion, classic rock, folk rock, glam rock, protopunk, psychedelic rock, rock, singer-songwriter|2023-07-13, 13:43:16
70ZTdbPEcEugBNay4MvxfL|Bread|63|folk rock, mellow gold, singer-songwriter, soft rock|2023-07-13, 13:43:18
6GI52t8N5F02MxU0g5U69P|Santana|71|blues rock, classic rock, mexican classic rock|2023-07-13, 13:43:19
5fbhwqYYh4YwUoEs582mq5|The Spinners|58|classic soul, disco, funk, motown, philly soul, quiet storm, soul|2023-07-13, 13:43:20
3iDD7bnsjL9J4fO298r0L0|Chicago|67|album rock, classic rock, mellow gold, rock, soft rock, yacht rock|2023-07-13, 13:43:21
7mEIug7XUlQHikrFxjTWes|Neil Diamond|66|adult standards, brill building pop, folk rock, heartland rock, mellow gold, singer-songwriter, soft rock, yacht rock|2023-07-13, 13:43:22
0uUNzXylqsZdmFDwdxaP1V|B.J. Thomas|50|adult standards, bubblegum pop, classic country pop, folk rock, mellow gold, soft rock|2023-07-13, 13:43:25
0cQuYRSzlItquYxsQKDvVc|The Guess Who|54|album rock, classic canadian rock, classic rock, country rock, folk rock, hard rock, heartland rock, mellow gold, rock, singer-songwriter, soft rock|2023-07-13, 13:43:26
5xLSa7l4IV1gsQfhAMvl0U|B.B. King|60|blues, blues rock, classic rock, electric blues, jazz blues, soul blues, traditional blues|2023-07-13, 13:43:26
1B8AXU6gIIafpyLEpbcv1u|Edwin Starr|47|classic soul, motown, northern soul, soul, southern soul|2023-07-13, 13:43:27
5hfOHpGMsi8O3DA0ROLGqF|James Gang|49|album rock, blues rock, british blues, classic rock, country rock, electric blues, folk rock, hard rock, heartland rock, mellow gold, southern rock|2023-07-13, 13:43:28
2t0kaaDtGZtmpczIAMaVTQ|Charles Wright & The Watts 103rd Street Rhythm Band|44||2023-07-13, 13:43:29
43ZHCT0cAZBISjO8DG9PnE|Elvis Presley|76|rock-and-roll, rockabilly|2023-07-13, 13:43:30
4pJCawaKSZ40EnxN0YEYw3|Badfinger|52|album rock, beatlesque, british blues, classic rock, country rock, folk rock, jangle pop, mellow gold, power pop, singer-songwriter, soft rock|2023-07-13, 13:43:31
2JSjCHK79gdaiPWdKiNUNp|Dionne Warwick|59|adult standards, brill building pop, disco, quiet storm, soft rock, vocal jazz|2023-07-13, 13:43:32
08F3Y3SctIlsOEmKd6dnH8|Yusuf / Cat Stevens|69|british folk, classic rock, folk, folk rock, mellow gold, singer-songwriter|2023-07-13, 13:43:32
6TKOZZDd5uV5KnyC5G4MUt|Smokey Robinson & The Miracles|55|classic soul, motown, quiet storm, soul|2023-07-13, 13:43:33
3MdG05syQeRYPPcClLaUGl|Diana Ross|64|adult standards, disco, motown, quiet storm, soft rock, soul|2023-07-13, 13:43:34
3kvy8do7n0qVqvlNFS4yOF|Jerry Reed|53|classic country pop, country, country rock|2023-07-13, 13:43:35
3qP1yR7s0FAKMjEw99p6wE|Blues Image|34|psychedelic rock, southern rock|2023-07-13, 13:43:36
1Csjn2SQV7R9szDhhR7Aji|The Ides Of March|34||2023-07-13, 13:43:37
7d7q5Y1p2QWS4QRAhTQR5E|Anne Murray|56|adult standards, canadian country, canadian pop, classic country pop, mellow gold, soft rock|2023-07-13, 13:43:37
0701Axu6yvUIoctaKMbDIZ|Freda Payne|37|beach music, motown|2023-07-13, 13:43:38
2ttm3uT0N1RN7vwKv1pQgh|Brook Benton|41|rhythm and blues, southern soul|2023-07-13, 13:43:39
